نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
سعيد,افخم ,خ پیروزی بلوار ابوذر نرسیده به پل دوم ک ناصری  حدود 8 متر پایین تراز دیوار درب ورودی دبیرستان دهخدا,1,14,دیپلم,,53,,7
محمدعلي,افخمی,خاک سفید خ اله اکبر کوچه 216 شرقی  کوچه بیژنی حسن پور,0,15,کارشناسی ارشد یا بالاتر,,53,,21
سكينه,اللهیاری,خیابان جمال زاده جنوبی بین آذر بایجان و جمهوری بن بست اول,1,25,ابتدایی یا متوسطه,,42,,21
رقيه,الهام,الهیه -میدان تختی -خ  تختی به سمت جنوب - فرهنگسرای سنتی,1,19,دیپلم,,51,,4
مرتضي,امانت,پیروزی انتهای دهقان ک شهیدی پور وسط کوچه,0,15,کارشناسی ارشد یا بالاتر,,53,,31
ريحانه,امانی,خ ولیعصر .,0,23,ابتدایی یا متوسطه,,26,,0
نرگس,امیری,یاخچی اباد - خ تاجیک - خ حاتمی -,0,17,کارشناسی (لیسانس),,53,,7
مصطفي,امین‌زاده,خیابان کارون- بالاتر از خیابان امام خمینی-گوچه آزمونیا-,1,21,کارشناسی (لیسانس),,28,,9
خديجه,انتظامی,پاسگاه نعمت آباد - دولت خواه - برادران شکری - کوچه 36 -,1,18,دیپلم,,17,,3
مجيد,انوار,بلوارارتش - خ شهید شاه مرادی,1,13,فوق دیپلم,,27,,35
محمدجواد,انوری,یافت اباد - میدان معلم -مداعن - خ شهید اسمائیلی -,0,18,دیپلم,,42,,13
مهديه,انوشه,خزانه . خ تقوی . ک بهار دوست .,0,25,دیپلم,,38,,3
مجتبي,اوستا,میدان المپیک شهرک چشمه خیابان گلها,1,12,کارشناسی (لیسانس),,41,,32
الهام,ایمانی,راه اهن خ انبار نفت نرسیده به زربافیان نبش ک حسینی,0,24,ابتدایی یا متوسطه,,32,,14
محمود,پارسا,خانی آباد نو . خ لطیفی .محدوده,0,13,فوق دیپلم,,15,,26
حميدرضا,پارسی,صالح اباد غربی خ کلهر,1,24,دیپلم,,43,,14
اكرم,پازارگاد,حکیمیه. ابتدای خ گلریز.,1,23,ابتدایی یا متوسطه,,16,,11
حميد,پازوکی,شهرزیبا بلوار تابان بلوار الاله شرقی انتهای خ نیلوفر  خ منوچهری,1,13,دیپلم,,17,,9
جواد,پایا,خ شهید رجائی ایستگاه بانک کوچه سعید هاجری بن بست صدیقی,1,13,ابتدایی یا متوسطه,,28,,33
محدثه,پایدار,نیاوران خ خداوردی 13 غربی روبه روی,0,21,فوق دیپلم,,51,,12
راضيه,پایور,خروجی همت,0,22,دیپلم,,29,,3
بتول,پستا,حکیمیه فاز 2 کوی دانشگاه خ بشارت ک گل نرگس,0,12,کارشناسی (لیسانس),,21,,15
طيبه,پناهنده,خ شادمان خ خوش رو ک سرابی,1,13,دیپلم,,22,,29
محبوبه,پناهی,انتهای 17 شهریور پایین تر از تیر دو قلو,1,13,دیپلم,,43,,26
ابراهيم,پناهیان,اتوبان همت . غرب به شرق . نرسیده به پل ستاری,1,23,کارشناسی (لیسانس),,43,,22
فائزه,پورناظری,م سپاه . ضلع غربی,1,15,کارشناسی (لیسانس),,29,,13
اميرمحمد,پورنگ,نازی اباد میدان بهشت 18 متری تختی فلکه اول تختی ابتدای کوچه بیست و دوم,0,21,دیپلم,,25,,10
محمدامين,پیران,کیانشهر . خ صالحی . قبل از سرای محله کیانشهر جنوبی .,0,13,کارشناسی (لیسانس),,53,,5
عصمت,پیرحیاتی,خ . ارومیه . بین . اسکندری  و اوستا .  داخل خیابان ارمیه,1,19,کارشناسی (لیسانس),,26,,10
الهه,پیوندی,خ مرتضوی بسمت غرب . بعد از خیابان کارون,0,19,کارشناسی (لیسانس),,33,,27
سجاد,تابش,بلوار فردوس شرقی خ شهید علی حسینی کوی,1,18,کارشناسی ارشد یا بالاتر,,30,,21
اميرعلي,تبریزی,خ شریعتی - خ معلم -,0,18,دیپلم,,49,,4
غلامرضا,ترکاشوند,خ شهید رجایی . بلوار 13 ابان . خ شهید محمد عربی . کوچه یدالله فاطمی ابان 4 سابق .,1,18,دیپلم,,31,,9
كبري,ترکان,اتوبان افسریه بعد از ورودی 20 متری افسریه,0,21,کارشناسی (لیسانس),,37,,27
امير,توسلی,امام زاده حسن -همایون شهر- خ خدایار حسنی -سرکوچه چهاردولی -,0,19,کارشناسی (لیسانس),,42,,18
مسعود,توفیق,مترو صادقیه خ ولیعصر نبش ک سا یه,0,13,دیپلم,,33,,4
سارا,توفیقی,خیابان ولیعصر کوچه صداقت کوچه عدل بن بست سوم جنوبی,1,18,کارشناسی (لیسانس),,34,,31
علي اكبر,توکل,خ معلم. نبش خ مرودشت .,0,15,کارشناسی (لیسانس),,53,,3
فرزانه,توکلیان,جمهوری تقاطع دوازدهم فروردین,0,15,کارشناسی (لیسانس),,36,,4
هادي,تهرانی,سه راه آذری - خ اردشیر - کوچه موسوی -,1,13,کارشناسی (لیسانس),,20,,8
نجمه,جعفریان,نارمک خ چمن غربی براتی خ جویبار و قاسم زاده,1,22,ابتدایی یا متوسطه,,48,,21
اكبر,جمادی,خ هنگام . خ 20 متری شمیران نو . اطراف میدان پاکدامن,0,12,فوق دیپلم,,19,,32
محمدحسن,جنتی,خ خاوران . خ ناصری . ک حمید عنایتی .,0,15,کارشناسی (لیسانس),,50,,10
مبينا,جهانبگلو,بلوار کاوه  نانوای سنگک  ک  مهدیه,0,20,دیپلم,,27,,2
علي اصغر,جهانگیری,شهر ری خ فداییان خ ارکیده,0,24,کارشناسی ارشد یا بالاتر,,55,,10
عاطفه,حائری,اتوبان خلیج فارس به سمت تهران نرسیده به شهید کاظمی,1,24,دیپلم,,22,,28
احسان,حجتی,دیالمه - کوچه مقدم فر,0,21,دیپلم,,47,,5
سمانه,حسابی,نعمت  اباد   شهرک  احمدیه  انتهای  خ  گلها   ضلع   جنوبی   بلوار   شقایق  پارک ایران  کودک,1,17,کارشناسی (لیسانس),,21,,8
مليحه,حقانی,اتوبان تند گویان - جنوب به شمال -بعد از خروجی بیمارستان امیرالمومنین  لاین وسط,1,24,کارشناسی (لیسانس),,17,,14
حامد,حقیقی,خ وحدت اسلام -حد فاصل مختاری تا انتهای خ وحدت اسلامی,1,13,دیپلم,,19,,31
صغري,حکمت,خیابان نبرد شمالی کوچه مرتضوی,0,25,فوق دیپلم,,41,,28
سيدعلي,حکمی,جمهوری نبش باستان جنوبی,0,21,دیپلم,,21,,6
اميررضا,حکیمی,افسریه - خ 45- بین سوم و چهارم -,1,24,دیپلم,,18,,28
مائده,حیاتی,خ سهروردی جنوبی کوچه اسلامی,0,15,فوق دیپلم,,55,,25
امين,خاتمی,خ خدامی - کوچه لیلی - بن بست فیروز غربی,0,18,کارشناسی (لیسانس),,20,,5
رسول,خامنه‌ای,خ محبوب مجاز .سینای غربی. نرسیده به اول خوش.,1,25,کارشناسی ارشد یا بالاتر,,19,,18
مينا,خاموشی,خ هلال احمر خیابان قدمی,1,14,کارشناسی (لیسانس),,55,,1
مهسا,خداپناهی,17 شهریور جنوبی- بن بست گندم کار,1,22,دیپلم,,22,,1
مهناز,خدایی,خ . تهران نو   م  . چایچی  خ . شواخ   ک  . داوود قدیمی,1,25,کارشناسی (لیسانس),,47,,35
هانيه,خراسانی,خ هاشمی - نرسیده به جیهون - خ شهید دین محمدی - ک فلاح پور-,0,13,کارشناسی (لیسانس),,41,,7
حميده,خرم‌آبادی,بریانک کوچه محبی,0,20,دیپلم,,50,,5
فرشته,خسروپناه,تهران پارس-خ امین-خ زمرد-کوچه عندلیب-,0,25,دیپلم,,47,,0
سيدمحمد,خمسه,جنت اباد . خیابان مخبری . بین ستاری و شاهین,1,25,کارشناسی (لیسانس),,49,,14
اسماعيل,خوئینی,کردستان جنوب به شمال . ابتدای خیابان ادریس حسین پور,0,20,کارشناسی (لیسانس),,52,,13
ناهيد,خوئینی‌ها,خیابان قائم مقام فراهانی جنوبی . خیابان مشاهیر .,1,24,کارشناسی (لیسانس),,31,,22
فهيمه,خیابانی,خیابان علی آباد شمالی خیابان شهید همدانی کوچه مصطفی خمینی,0,22,ابتدایی یا متوسطه,,16,,21
نسرين,راسخ,جنت اباد جنوبی خ چهار باغ شرقی  15 متری اول جنوبی ک چهاردهم شرقی,0,23,کارشناسی (لیسانس),,55,,4
سميرا,راوندی,خانی آباد نو شهرک بستان خ میثاق جنوبی ک 24,0,13,کارشناسی (لیسانس),,31,,10
اشرف,رجایی,خ هنگام خ 35 متری استقلال - خ سروش اصلی -  چهارراه شهیدگمنام ضلع جنوب غربی,1,21,دیپلم,,16,,20
احمدرضا,رحماندوست,اتوبان نیایش -ورودی باکری,0,12,کارشناسی (لیسانس),,22,,25
كوثر,رحمانیان,خ گرگان - بن بست ملک اسماعیلی,1,15,دیپلم,,32,,24
فريبا,رستمی,شهران خ کوهسار خ شعبانعلی انتهای شعبان علی سمت چ,0,19,دیپلم,,49,,24
فاطمه زهرا,رسولی,خیابان هنگام خیابان 20 متری شمیران نو دور میدان پاکدامن,1,20,کارشناسی ارشد یا بالاتر,,36,,11
اصغر,رفیعی,خ  مختاری  غربی  .  نبش  ک  مقدسی,1,14,کارشناسی ارشد یا بالاتر,,55,,13
فاطمه سادات,رنجبر,پیروزی . خ 6 . ک 6/28 ( تهرانی ) .,1,13,کارشناسی (لیسانس),,39,,12
مهري,رنگرز,بلوار فردوس غرب-خ شقایق جنوبی-کوچه بیست و پنجم شرقی,0,20,ابتدایی یا متوسطه,,20,,3
هاجر,روحانی,شهرک غرب- خ سیمای ایران-,0,25,کارشناسی ارشد یا بالاتر,,25,,24
ميثم,روزبه,فکله اول تهرانپارس خ رشید خ شهید حسینی,1,14,فوق دیپلم,,21,,7
وحيد,رهنما,خ ظفر . خ آقا زاده فرد ( اطلسی ) . خ 15 . ک یاس .,0,12,کارشناسی ارشد یا بالاتر,,24,,26
افسانه,زارع,بلوار پروین -خ -208    بین  پروین   و خیری,1,14,کارشناسی (لیسانس),,23,,33
ميلاد,زالی,ازادی خیابان لاخر,1,22,فوق دیپلم,,53,,8
داود,زرشناس,نارمک- میدان هلال احمر- خ گلستان -خ سهیلیان- کوچه ربیعی-,0,12,فوق دیپلم,,50,,2
ربابه,زمردیان,دکتر بهشتی -خیابان اندیشه - اندیشه چهار شرقی ( احدی),0,13,دیپلم,,17,,18
نازنين زهرا,زهرایی,نعمت آباد - شهرک ابوذر - ک صبا چهارم -,0,18,دیپلم,,23,,4
سعيده,زین‌الدین,سعادت اباد خ مطهری شمالی بعد از ک صدف,0,25,کارشناسی (لیسانس),,54,,32
ناصر,شادمهر,تهرانسر . بلوار یاس . خیابان گل محمدی . داخل بوستان گل محمدی. فلکه داخل دریچه سبز رنگ,1,18,کارشناسی ارشد یا بالاتر,,22,,14
سحر,شاملو,ستارخان - کوثر دوم - کوچه مهدوی,0,15,دیپلم,,46,,21
روح اله,شاه‌حسینی,سعادت اباد- کوی فراز- بلوار شهدای برق-,1,20,فوق دیپلم,,39,,1
اميد,شاهی,حکیمیه - خ بهشت - ک ارکیده یک,0,14,کارشناسی (لیسانس),,39,,6
علي رضا,شبستری,خ ولیعصر خ فرشته خ اخگری نرسیده به میدان,1,22,ابتدایی یا متوسطه,,32,,12
مهين,شجاعی,ضلع غربی دریاچه .,0,13,ابتدایی یا متوسطه,,47,,23
آمنه,شرع‌پسند,پاسداران - انتهای بوستان نهم - خ داوود اسلامی یا جعفری,1,22,ابتدایی یا متوسطه,,36,,34
سيدحسين,شرف,عبدل آباد - خ احسانی -  ک بیستم,1,17,متوسطه,,46,,1
منصوره,شریعتمداری,نارمک خ شهید ثانی غربی خ سهیلیان جنوبی(شیرمرد) خ یوسف شعار(نوزدهم),0,12,ابتدایی,,41,,11
حديث,شریعتی,خ پیروزی - خ نبرد - نرسیده به چهار راه فرزانه -نبش  کوچه شاه محمدی,1,17,کارشناسی ارشد,,36,,2
محمدصادق,شریف,جوادیه . خ طارمی .,1,23,دکترا,,31,,20
سهيلا,شریفیان,اتوبان همت غرب لاین سرعت .بعد از جنت اباد قبل از خیابان کویری تامه,0,15,لیسانس,,37,,8
محمدطاها,شفا,میدان شهر ری  - خ جاده قم - ک مختار خان,0,19,سیکل,,33,,4
نرجس,شهیدی,میدان خراسان خیابان شهید کاظمی کوچه محمود زیبا کلام سمت جنوب کوچه,0,12,کارشناسی (لیسانس),,33,,27
مطهره,شیخ‌الاسلامی,خلیج بلوار خلیج فارس شهرک سینا کوچه 35شهید شیرودی انتهای کوچه کوی مهر,1,20,کارشناسی ارشد یا بالاتر,,39,,7
قاسم,شیرازی,لویزان - شیان - ک شقایق - شیان 5 - جنب,1,13,ابتدایی یا متوسطه,,53,,23
سيدمهدي,شیرمحمدی,بلوار ابوذر - کوچه ایراندوست -نبش کوچه املاک بیاتانی,1,15,دیپلم,,24,,1
ندا,شیروانی,مهراباد جنوبی . خ شمشیری . کوچه کرمی,0,23,دیپلم,,47,,16
عرفان,خوئینی,افسریه شهرک والفجر,0,22,دیپلم,,37,,30
مژگان,خوئینی‌ها,مسگر اباد-خ گلزار شهدا-,0,12,دیپلم,,41,,15
پروين,خیابانی,خ جمهوری - بعد از باغ  سپهسالار - ک علیپور کرمی,0,25,کارشناسی (لیسانس),,46,,25
عزت,دانایی‌فر,خ دردشت- خ حیدر خانی - نبش کوچه رحیم  احمدی - داخل جوب ایستگاه مسجد,1,21,کارشناسی (لیسانس),,40,,5
صادق,دانایی‌فرد,خ دماوند- بهمن مهاجر- ک ماهر نقش,0,12,کارشناسی (لیسانس),,16,,22
فريده,داودی,الهیه مریم شرقی خ مهدیه خ جبهه بن بست لسانی  کوچه گلستان .,1,18,دیپلم,,35,,8
يوسف,داور ,سوم نیروی هوایی - ابتدای کوچه 2/22,0,20,کارشناسی ارشد یا بالاتر,,48,,32
پريسا,دباغ,جلال آل احمد  - شایق شمالی - بن بست پنجم  -  ملک  در حال ساخت,1,22,کارشناسی (لیسانس),,45,,5
شهناز,درگاهی,سیمون بولیوار -خیابان شاهد -,0,23,فوق دیپلم,,44,,9
اميرمهدي,دری,بلوارمرزداران ، خ بهار ، یگانه غربی ،,1,20,کارشناسی ارشد یا بالاتر,,16,,30
اميرعباس,دستغیب,تقاطع اندرزگو و قیطریه . نبش خ برادران سلیمانی .,1,17,دیپلم,,19,,28
ايمان,دهقان,شهر ری میدان نماز خ پاک طینت کوچه عباسی,1,24,دیپلم,,45,,14
جعفر,دیباج,اسکندری بعد از کلهر,0,16,,,26,,9
آرزو,ذاکری,16  متری  امیری  ک  وکیلی,0,21,,,28,,18
شهربانو,راسخ,انتهای خ دامپزشکی . خ غیاثوند . کوچه محمودی,1,18,,,19,,11
ام البنين,راوندی,خ نعمت اباد خ طالقانی ک,1,18,,,45,,24
رضوان,رجایی ,خ پیروزی-خ مقداد -فلکه دوم -نبش ک کلاله جو  فضای سبز بوستان مقداد,0,17,,,34,,7
نفيسه,رحماندوست,خ هفتم سی متری نیروهوایی نبش خ احمد زاده کابینت کوروش,0,25,کارشناسی ارشد یا بالاتر,,43,,25
عفت,رحمانیان,اتوبان محلاتی خ قیام جنوبی ک شاهد 2,1,24,دیپلم,,26,,1
ستايش,رستمی,جنت آباد. شمالی. خ کوروش غربی. خ آزادگان. کوچه ششم.,1,25,کارشناسی (لیسانس),,28,,10
منصور,رسولی,خ استاد حسن بنا شمالی. بالتر از سه راه دیاله. ک سعیدی,1,14,دیپلم,,28,,29
زهراسادات,رفیعی,خ دامپزشکی . تقاطع قصر دشت . ضلع شمال شرقی خیابان .,1,24,کارشناسی ارشد یا بالاتر,,26,,18
حديثه,رنجبر,بلوار افریقا نبش,1,24,ابتدایی یا متوسطه,,28,,21
سيده فاطمه,رنگرز,مجیدیه جنوبی استاد حسن بنا  انتهای رودخانه روبه روی مترو صیاد شیرازی,0,21,دیپلم,,35,,7
اقدس,روحانی,گیشا - خیابان سی و نهم -,1,21,کارشناسی ارشد یا بالاتر,,19,,20
محمدصالح,روزبه,خ سهروردی جنوبی .ک لشگری .,0,17,ابتدایی یا متوسطه,,55,,5
نصرت,رهنما,خیابان امام زاده عبدالله - خیابان سادات کوچه بهرامی -,0,22,کارشناسی (لیسانس),,44,,14
غلامحسين,زارع,شهران . خ سمیه غربی . نبش ک عمار .,0,25,کارشناسی (لیسانس),,36,,16
مليكا,زالی,تهران نو خیابان سفید کوه نبش مسیل جاجرود,1,13,دیپلم,,33,,11
عارفه,زرشناس,خ پیروزی خ دهقان انتهای خیابان ک سلامی,0,19,فوق دیپلم,,20,,25
عبداله,زمردیان,خ خاوران - خ مخبر جنوبی - ک سید محمد روحانی,1,25,دیپلم,,41,,3
نگار,زهرایی,بزرگراه شیخ فیض الله نوری غرب ب شرق-حد فاضل سه راه و یادگار امام تا جناح,0,23,دیپلم,,17,,10
كاظم,زین‌الدین,سهروردی شمالی کوچه اشراقی,0,16,کارشناسی (لیسانس),,48,,1
اسماء,ساعی,میدان راضی خیابان حلال احمر خیابان قدمی کوچه ناصری,0,19,ابتدایی یا متوسطه,,34,,2
پروانه,سبحانی,میدان ابوذر . خ بهبودی . نبش ک ملکی ها .,1,19,فوق دیپلم,,35,,23
ثريا,سبزواری,پونک خیابان سردار جنگل خیابان بهار شرقی کوچه فجر 2,1,23,دیپلم,,36,,13
حكيمه,سپه‌وند,میدان صادقیه - خ سازمان - خ هاجی پور امیر - انتهای دیهیم -,0,16,ابتدایی یا متوسطه,,39,,2
حنانه,ستاری,میدان خراسان ابتدای خ خاوران,1,17,دیپلم,,22,,8
فاطمه السادات,سحاب,ازادی- خ جیحون-بین طوس ودامپزشکی-,0,20,ابتدایی یا متوسطه,,21,,32
هستي,سحابی,خ 17 شهریورجنوبی.پایین تر ازتیردوقلو.,0,22,فوق دیپلم,,20,,25
آسيه,سراج,بزرگراه بابایی شرق,1,16,دیپلم,,22,,5
آزاده,سرشار,پاسداران - بلوار شهرزاد - خ یارمحمدی - بن بست سایه - ملک در حال ساخت انتهای بن بست,1,16,کارشناسی (لیسانس),,25,,23
زهراء,سرمد,مختاری ک دادخواه ک فقیری,1,12,دیپلم,,33,,6
علي محمد,سروستانی,شوش شرقی . ابتدای ارج ابراهیمی,1,24,دیپلم,,36,,0
سيده زهرا,سروش,شمیران - قیطریه-خ شهید سلیمانی شرقی- نبش کوچه مینو-,0,23,کارشناسی (لیسانس),,26,,0
حسينعلي,سلامت,خ لاله زار جنوبی ازم امام خمینی تا خ جمهوری,0,20,کارشناسی (لیسانس),,31,,1
شهلا,سیف,خ قزو ین  -  بعداز پم,0,15,دیپلم,,32,,6
حانيه,سیف‌زاده,شمیران نو . میدان پاکدامن,0,22,کارشناسی (لیسانس),,24,,35
سيدرضا,شادمهر,چهارراه نظام آباد . ابتدای مدنی جنوبی . بوستان مینا,1,19,کارشناسی (لیسانس),,40,,34
ليلي,شاملو,خ بوسنی نبش کوه یار,0,19,کارشناسی (لیسانس),,46,,21
مسلم,شاه‌حسینی,خ هنگام - 35متری استقلال- خ جمال لو-کوچه پاشایی نژاد-,0,18,کارشناسی ارشد یا بالاتر,,30,,25
دانيال,شاهی,خ پیروز جنوبی .,1,22,دیپلم,,28,,22
عباسعلي,شبستری,دروازه شمیران . 20 متری روشندلان .,1,12,دیپلم,,26,,2
عطيه,شجاعی,فلکه 2 دولت آباد . انتهای خ کارگر ملک شاد . خ افشاری .,0,21,کارشناسی (لیسانس),,39,,29
محمدهادي,شرع‌پسند,جاده ساوره.شهرک صادقیه.پانزده متری طالقانی.یعقوبی.,1,18,کارشناسی (لیسانس),,25,,0
جميله,شرف,نازی آباد. خ خالقی پور. حدفاصل,1,15,دیپلم,,51,,30
حجت,شریعتمداری,نبرد خ دامیار کوچه ابوذر یکم,1,16,کارشناسی (لیسانس),,40,,23
راحله,شریعتی,خ اذربایجان,1,19,کارشناسی (لیسانس),,46,,16
مرجان,شریف,شهرآرا - هخامنش شمالی - انتهای کوچه کلو,0,24,کارشناسی (لیسانس),,29,,5
عبدالرضا,شریفیان,تهرانپارس پایین تر از میدان پروین بین کوچه 194 و 190,1,13,کارشناسی (لیسانس),,42,,27
عذرا,شفا,تهران پارس خ استخر بوستان یک شرقی,0,22,ابتدایی یا متوسطه,,52,,14
محمدتقي,شهیدی,میرداماد خ شاه نظری نبش خ فرجام و خ کوشا,0,24,فوق دیپلم,,22,,18
يگانه,شیخ‌الاسلامی,خ شکوفه خ عزیزی ک کاظمی دینان بن بست جامی,0,20,کارشناسی (لیسانس),,20,,23
زينت,شیرازی,طرشت  اکبری جنوبی  تقاطع  قلانی,1,25,دیپلم,,41,,22
مهرداد,شیرمحمدی,خ قزوین . سه راه اذری . خ قدرت پاکی . نبش ک داوود محمدی,0,12,کارشناسی ارشد یا بالاتر,,32,,5
مهلا,شیروانی,نارمک. میدان 93,0,17,دیپلم,,53,,8
ساجده,صانعی,خ کریم خان- نرسیده به نجات اللهی-,0,24,دیپلم,,18,,14
آتنا,صباغ,میدان فرهنگ خیابان آماج خیابان ابن سینا یا 31 -,1,22,کارشناسی (لیسانس),,22,,20
غلامعلي,صدر,تهرانسر خ 32,1,17,کارشناسی (لیسانس),,38,,28
حبيب,صدیق,شهرری شهرک علا ئین میثم شما لی خ آیت الله کا شا نی,0,21,دیپلم,,36,,17
سيدمصطفي,صدیقی,خاور شهر - فاز 1 - خ 12 - منطقه 2- فضای سبز بین,0,24,فوق دیپلم,,17,,2
صفيه,صغیری,خ کمیل خ قصرالدشت ک ابراهیمی سر تا سر,1,22,دیپلم,,35,,24
رحيم,صفوی,رسالت خیابان دلاوران خیابان تکاوران جنوبی کوچه دوم مرکزی,0,20,دیپلم,,32,,7
منيره,عارف,خ شوش .خ محمد یزدی .نبش حمید افشاری,0,14,فوق دیپلم,,31,,34
بهاره,عاشوری,شهرری دولت آباد خیابان سید حسن غیوری کوچه 10 متری اسلامی,1,17,کارشناسی (لیسانس),,15,,34
ياسين,عالی,میدان رسالت خ شهید فرمان طرقی خ شهید دهقران نبش کوچه درویشی,1,15,کارشناسی ارشد یا بالاتر,,43,,2
حليمه,عبادی,شهرک آزادی . بلوار محمد رسول الله. ک حبیب. جنب,1,19,کارشناسی (لیسانس),,16,,24
سيدمحمدرضا,عبدالکریمی,فداییان اسلام زیر پل بعثت. خ امام قلیان . ک 39,1,19,دیپلم,,33,,32
متين,عبدالملکی,خ علامه جنوبی خ 24 شرقی,1,15,کارشناسی (لیسانس),,46,,30
ايران,عراقی,خاوران . سه راه هاشم آباد . خ عباس کاشی . نبش خ محرابیان فرد .ابتدای کوچه دهقان زاده,0,12,کارشناسی (لیسانس),,24,,1
سيداحمد,عزیزی,بلوار فردوس غرب اواسط ک 34,1,17,دیپلم,,35,,26
موسي,عصار,میدان فلاح-خ رزاقی-نبش کوچه حسینی اصل-مغازه میوه فروشی,1,25,دیپلم,,26,,6
ابوالقاسم,کمالی,بزرگراه حکیم شرق به غرب - ابتدای ورودی بلوار تعاون,1,24,کارشناسی (لیسانس),,53,,16
ميترا,کوشکی,بزرگراه حکیم شرق به غرب - ابتدای ورودی بلوار تعاون,0,23,کارشناسی (لیسانس),,35,,11
بهروز,کهنمویی,خ پیروزی میدان باغچه بیدی خ محبی - ابتدای دریاباری,1,14,کارشناسی (لیسانس),,36,,35
صغرا,کیان,خیابان رشید جنوبی بعد از خیابان 138,1,22,ابتدایی یا متوسطه,,45,,30
جلال,کیانی,خ طوس نرسیده به خوش,1,25,کارشناسی (لیسانس),,39,,31
سبحان,گل محمدی,تهرانسر لوار یاس نرسیده به بلوار هواپیمایی یاس,0,14,کارشناسی (لیسانس),,21,,6
نگين,گلپایگانی,خ تفرش غربی . کوچه افشار .,0,23,دیپلم,,50,,1
نيلوفر,گنجی,خ  قزوین  .  خ رنجبر  .  خ  حاجیان  .  بن  بست  1,1,22,کارشناسی (لیسانس),,52,,17
سيدحسن,لاجوردی,میدان پونک - بلوار همیلا- خ پارک - ک مهر -,0,13,دیپلم,,39,,16
سيدمحسن,لاچینی,میدان ابوذر خ شانذیر.نبش پیغمبری.,0,20,دیپلم,,28,,23
فرهاد,لاهوتی,حکیم  غرب به شرق . سر تعاون . وسط فضای سبز,0,22,کارشناسی ارشد یا بالاتر,,21,,17
ثنا,لنکرانی,علامه جعفری به سمت غرب . بعداز اندیشه شمالی . مجاور اتوبان .,0,17,کارشناسی ارشد یا بالاتر,,34,,4
محمدباقر,لوکس,نارمک خ 68 ک اژنگ,1,19,کارشناسی (لیسانس),,52,,32
نازنين,مجاهد,خ خردمند شمالی,0,16,ابتدایی یا متوسطه,,38,,17
